Corrections,Loss (dB),Fibre Length (km),Power (mW),Acquisition Time (s),Coincidence Window (ps),Brightness (cps),Heralding,Quantum Bit Error Rate,QX,Secure Key Rate (bps),Tstamp,exit_flag,angle,H1550,V1550,D1550,A1550,H780,V780,D780,A780,H1550H780,H1550V780,H1550D780,H1550A780,V1550H780,V1550V780,V1550D780,V1550A780,D1550H780,D1550V780,D1550D780,D1550A780,A1550H780,A1550V780,A1550D780,A1550A780
None,34.02799999999999,0,2.5,41.57037551365996,400,201.65802921951857,0.0023993140732409854,0.06408706166868199,0.03699551569506727,43.17471012209386,1722328344.214428,None,87.0,45220622,84917748,38839892,46350950,14030,12221,17533,12908,1536,71,735,773,35,12,40,21,635,724,1388,47,734,391,52,1189
None,34.02799999999999,0,2.5,41.295796351462975,400,207.11551188422584,0.0024318255148752105,0.06203931203931204,0.03299042213550905,47.1538442922932,1722329383.3946695,None,87.0,44757848,84264136,38668889,45674468,13941,12796,17943,13296,1510,76,757,784,25,17,28,21,626,744,1471,40,745,401,53,1255
None,34.02799999999999,0,2.5,41.191291124260054,400,208.0779642022927,0.0024317509507821643,0.056372549019607844,0.03506311360448808,48.684690891730654,1722330421.9685798,None,87.0,44409342,83544804,38318753,45412202,14319,12838,18142,13387,1529,67,745,746,25,11,31,20,728,711,1475,49,743,363,51,1277
