Corrections,Loss (dB),Fibre Length (km),Power (mW),Acquisition Time (s),Coincidence Window (ps),Brightness (cps),Heralding,Quantum Bit Error Rate,QX,Secure Key Rate (bps),Tstamp,exit_flag,angle,H1550,V1550,D1550,A1550,H780,V780,D780,A780,H1550H780,H1550V780,H1550D780,H1550A780,V1550H780,V1550V780,V1550D780,V1550A780,D1550H780,D1550V780,D1550D780,D1550A780,A1550H780,A1550V780,A1550D780,A1550A780
None,44.038,0,2.5,50.32907895792608,400,21.717067401804076,0.0004629676767600432,0.09090909090909091,0.0659025787965616,2.280939509821095,1722328783.0128467,None,156.0,52028013,97886239,44761575,53372276,4719,4292,9767,3692,183,11,90,91,8,7,13,6,89,90,176,8,97,59,15,150
None,44.038,0,2.5,50.33620953189201,400,21.7934566428758,0.00046360377996503536,0.0845771144278607,0.06340057636887608,2.627161285130642,1722328839.728715,None,156.0,53101895,99800503,45703184,54404545,4645,4274,9619,3592,178,6,115,80,11,6,14,6,87,95,182,9,90,62,13,143
None,44.038,0,2.5,50.46013637304703,400,20.273429156771545,0.00043814079837433404,0.0867579908675799,0.07028753993610223,2.1028553827180567,1722329823.3729138,None,156.0,52171597,97931668,44494786,53675866,4605,4180,9581,3592,196,10,98,80,9,4,13,7,91,70,182,7,88,44,15,109
None,44.038,0,2.5,50.233799009097,400,20.922168355406907,0.0004416737037377039,0.05825242718446602,0.04643962848297214,4.27289208289678,1722329879.8972185,None,156.0,53342038,100156725,45627762,54862148,4556,4256,9769,3713,191,6,98,106,6,3,12,3,84,81,155,6,93,45,9,153
None,44.038,0,2.5,50.37198469595496,400,22.075763079656802,0.00046911416593478747,0.042105263157894736,0.051351351351351354,5.033574780395512,1722330864.0451758,None,156.0,52748725,99477386,45371854,53942693,4657,4306,9668,3707,173,3,102,92,5,9,21,10,92,92,182,5,91,52,14,169
