Corrections,Loss (dB),Fibre Length (km),Power (mW),Acquisition Time (s),Coincidence Window (ps),Brightness (cps),Heralding,Quantum Bit Error Rate,QX,Secure Key Rate (bps),Tstamp,exit_flag,angle,H1550,V1550,D1550,A1550,H780,V780,D780,A780,H1550H780,H1550V780,H1550D780,H1550A780,V1550H780,V1550V780,V1550D780,V1550A780,D1550H780,D1550V780,D1550D780,D1550A780,A1550H780,A1550V780,A1550D780,A1550A780
None,34.02799999999999,0,7.5,25.200166763583994,400,593.7262296859534,0.002694291748480087,0.08248125426039536,0.05176767676767677,87.65736892457959,1722333036.46015,None,87.0,75202261,141234303,64731893,77345252,22199,19540,23476,20802,2591,137,1353,1259,105,101,89,94,1200,1304,2383,117,1327,650,129,2123
None,34.02799999999999,0,7.5,23.29119096163497,400,615.6834154002993,0.0027633110513813025,0.08210828253854428,0.04510786663761168,100.1086158652039,1722333068.3319185,None,87.0,69093712,129797100,59511646,71074748,20925,18672,22312,19827,2466,129,1241,1257,100,94,93,92,1099,1238,2337,93,1230,712,114,2045
None,34.02799999999999,0,7.5,24.421542603259972,400,609.5028574490228,0.002680857653210517,0.0732375085557837,0.04236577181208054,112.47557553495342,1722336098.0459158,None,87.0,75637272,141950231,65385603,77419478,21861,19539,23314,20827,2619,119,1315,1268,95,89,104,108,1152,1307,2427,91,1251,690,111,2139
None,34.02799999999999,0,7.5,24.143970284206983,400,615.8887633210327,0.00269161548784645,0.07524271844660194,0.05014749262536873,100.93991005069999,1722336131.0840132,None,87.0,75551586,141773796,65307848,77332792,21729,19378,23075,20606,2587,117,1270,1329,100,80,123,115,1130,1259,2412,99,1310,704,139,2096
None,34.02799999999999,0,7.5,24.650964695423976,400,567.6045612363954,0.0026230173080547077,0.07273391812865497,0.04786516853932584,98.39355881395716,1722336918.1820061,None,87.0,73417201,137983130,63251549,75471955,20627,18585,22268,19791,2463,117,1229,1234,82,74,103,93,1125,1215,2245,104,1171,636,109,1992
None,34.02799999999999,0,7.5,23.18969161356401,400,570.9433407150494,0.00263755230930451,0.07572115384615384,0.05008190966534051,93.15946332018041,1722336948.7954807,None,87.0,68797729,129335216,59261019,70843330,19337,17625,21166,18641,2227,102,1228,1152,87,80,98,70,1027,1135,2187,97,1155,606,117,1872
