Corrections,Loss (dB),Fibre Length (km),Power (mW),Acquisition Time (s),Coincidence Window (ps),Brightness (cps),Heralding,Quantum Bit Error Rate,QX,Secure Key Rate (bps),Tstamp,exit_flag,angle,H1550,V1550,D1550,A1550,H780,V780,D780,A780,H1550H780,H1550V780,H1550D780,H1550A780,V1550H780,V1550V780,V1550D780,V1550A780,D1550H780,D1550V780,D1550D780,D1550A780,A1550H780,A1550V780,A1550D780,A1550A780
None,46.007999999999996,0,2.5,52.46800439050502,400,13.627352675326668,0.00029711366526667535,0.08333333333333333,0.058577405857740586,1.8016142128285317,1722328903.3297505,None,172.0,57526105,108100765,49642419,58765485,4343,3949,9587,3254,115,6,66,58,5,6,20,5,60,63,131,3,54,18,11,94
None,46.007999999999996,0,2.5,51.925554673099015,400,13.654163243196138,0.0002952024388316554,0.10071942446043165,0.08786610878661087,0.6787570069283977,1722328962.3344269,None,172.0,56889648,106925860,49124389,58078853,4336,4032,9595,3321,118,8,62,56,6,7,13,5,58,54,104,8,48,35,13,114
None,46.007999999999996,0,2.5,52.23084446322494,400,13.49777142692727,0.00029577352211731465,0.13533834586466165,0.09787234042553192,-0.23022804815060693,1722329942.6409218,None,172.0,56240191,105615976,48221367,57751439,4315,3907,9756,3235,110,14,68,53,4,5,13,2,65,54,118,8,57,25,15,94
None,46.007999999999996,0,2.5,51.867162767011024,400,13.823775231754766,0.00030308433482681115,0.10526315789473684,0.05286343612334802,1.4936654105400242,1722330001.209306,None,172.0,56069127,105291438,48251883,57392957,4312,3867,9567,3214,127,9,56,61,7,9,18,3,62,37,126,2,72,29,10,89
