Corrections,Loss (dB),Fibre Length (km),Power (mW),Acquisition Time (s),Coincidence Window (ps),Brightness (cps),Heralding,Quantum Bit Error Rate,QX,Secure Key Rate (bps),Tstamp,exit_flag,angle,H1550,V1550,D1550,A1550,H780,V780,D780,A780,H1550H780,H1550V780,H1550D780,H1550A780,V1550H780,V1550V780,V1550D780,V1550A780,D1550H780,D1550V780,D1550D780,D1550A780,A1550H780,A1550V780,A1550D780,A1550A780
None,46.007999999999996,0,10.0,26.789590405971982,400,54.68541988881695,0.0005075764694907304,0.12455516014234876,0.08583690987124463,0.9642828268627465,1722337334.677923,None,172.0,107110392,201230519,92922629,110031089,3600,3216,6390,3087,222,8,141,117,27,24,38,24,106,110,236,12,123,59,28,190
None,46.007999999999996,0,10.0,24.704301285250995,400,52.58193644098452,0.0004939490027900263,0.1349206349206349,0.11138014527845036,-1.9677515217101913,1722337370.1973844,None,172.0,98797314,185622932,85499538,101646119,3285,2970,5655,2756,202,14,119,87,20,16,36,12,93,98,196,13,128,61,33,171
None,46.007999999999996,0,10.0,24.746887686540948,400,52.12776718995619,0.0004929613800810725,0.14009661835748793,0.09534883720930233,-1.005224276424322,1722338175.3778381,None,172.0,97446158,182335830,84773191,99642242,3178,2985,5743,2846,169,14,112,106,15,9,43,18,105,113,215,7,102,54,34,174
None,46.007999999999996,0,10.0,24.66520795457798,400,55.58436817255927,0.0005225711065062683,0.13732394366197184,0.0975609756097561,-1.0673134085995981,1722338210.4949183,None,172.0,95604504,178862447,83116801,97858628,3336,3243,5720,2814,215,18,104,107,21,30,31,10,107,115,226,17,96,66,27,181
None,46.007999999999996,0,10.0,27.26370286337602,400,54.83481123205274,0.0005147090935327982,0.14233576642335766,0.07692307692307693,0.5053850189885493,1722339016.6210454,None,172.0,106495995,199352085,92566160,109315052,3694,3291,6389,3242,218,20,143,102,19,17,36,18,101,118,236,12,133,63,27,232
None,46.007999999999996,0,10.0,24.698535584591994,400,57.290846056587164,0.0005253957098697654,0.11743772241992882,0.06904231625835189,3.3145587760895334,1722339052.4340477,None,172.0,99595451,186382811,86679945,102069855,3447,3056,5867,2909,227,16,122,101,17,21,33,20,119,117,245,9,104,69,22,173
