Corrections,Loss (dB),Fibre Length (km),Power (mW),Acquisition Time (s),Coincidence Window (ps),Brightness (cps),Heralding,Quantum Bit Error Rate,QX,Secure Key Rate (bps),Tstamp,exit_flag,angle,H1550,V1550,D1550,A1550,H780,V780,D780,A780,H1550H780,H1550V780,H1550D780,H1550A780,V1550H780,V1550V780,V1550D780,V1550A780,D1550H780,D1550V780,D1550D780,D1550A780,A1550H780,A1550V780,A1550D780,A1550A780
None,34.02799999999999,0,5.0,27.823361274793992,400,381.5858154283557,0.0025526884163597032,0.06253006253006253,0.037967289719626166,81.98354383097018,1722331131.0626318,None,87.0,56273629,105491955,48288667,57632961,16332,14692,18278,15320,1909,75,937,912,55,40,52,49,884,908,1771,58,917,455,72,1523
None,34.02799999999999,0,5.0,28.331775443949027,400,395.52763017516173,0.002636681191123934,0.06456107756618672,0.038087294968028915,83.30931040247727,1722331166.4126263,None,87.0,57209852,107127942,49063315,58674661,16667,14708,19119,15895,1978,87,1078,953,52,36,55,43,869,961,1881,52,991,506,85,1579
None,34.02799999999999,0,5.0,28.609197819532,400,412.52467386354215,0.002659910634705657,0.06620209059233449,0.0342902711323764,89.29946489847211,1722332064.5973477,None,87.0,58570162,110231762,50623838,60058773,17453,16159,20010,16818,2091,102,1088,1037,50,53,61,65,924,996,1984,53,996,577,76,1649
None,34.02799999999999,0,5.0,28.526676251389983,400,409.3011010853772,0.0026430349159883987,0.0664320281566212,0.0399790958975699,82.95271027747037,1722332100.2605371,None,87.0,58393528,109933424,50467490,59777284,17491,16002,19739,16824,2086,102,1009,1044,49,36,58,43,897,1021,2008,61,985,519,92,1666
