Corrections,Loss (dB),Fibre Length (km),Power (mW),Acquisition Time (s),Coincidence Window (ps),Brightness (cps),Heralding,Quantum Bit Error Rate,QX,Secure Key Rate (bps),Tstamp,exit_flag,angle,H1550,V1550,D1550,A1550,H780,V780,D780,A780,H1550H780,H1550V780,H1550D780,H1550A780,V1550H780,V1550V780,V1550D780,V1550A780,D1550H780,D1550V780,D1550D780,D1550A780,A1550H780,A1550V780,A1550D780,A1550A780
None,48.047999999999995,0,5.0,35.889741778257,400,17.2194050271602,0.00026785053379864545,0.13533834586466165,0.10837438423645321,-0.5759201075640145,1722331718.6410506,None,188.0,73276731,137465423,63116074,75288131,3220,3031,6539,2457,106,6,49,42,12,9,14,4,48,51,112,6,52,22,16,69
None,48.047999999999995,0,5.0,34.90680242710099,400,16.8162065610531,0.0002615631355910415,0.175,0.11170212765957446,-1.4633855797708355,1722331763.1981065,None,188.0,70065596,131568734,60388001,71980841,3101,2906,6609,2463,91,8,53,49,13,8,14,5,37,49,92,6,51,21,15,75
None,48.047999999999995,0,5.0,35.55201916477999,400,17.720512499726503,0.00026983790432180574,0.12396694214876033,0.09767441860465116,-0.01982263619013131,1722332657.5594268,None,188.0,74712970,140703133,64236874,76807102,3094,2981,6709,2508,99,5,54,51,10,7,22,7,35,43,113,4,52,30,17,81
None,48.047999999999995,0,5.0,35.63821296530401,400,16.976159848110363,0.00025933618134627446,0.14912280701754385,0.0966183574879227,-0.558721234869193,1722332702.46231,None,188.0,75354895,141863404,64850092,77327083,3078,2943,6644,2478,86,6,50,34,11,11,21,13,42,47,101,4,56,21,16,86
