Corrections,Loss (dB),Fibre Length (km),Power (mW),Acquisition Time (s),Coincidence Window (ps),Brightness (cps),Heralding,Quantum Bit Error Rate,QX,Secure Key Rate (bps),Tstamp,exit_flag,angle,H1550,V1550,D1550,A1550,H780,V780,D780,A780,H1550H780,H1550V780,H1550D780,H1550A780,V1550H780,V1550V780,V1550D780,V1550A780,D1550H780,D1550V780,D1550D780,D1550A780,A1550H780,A1550V780,A1550D780,A1550A780
None,35.907999999999994,0,10.0,21.995108782019,400,510.6589883830063,0.0021698084819851376,0.09128440366972478,0.051587301587301584,67.9573911733161,1722337688.6528544,None,99.0,84814927,158840532,73402113,86996943,16917,14991,18162,16248,1892,101,957,962,98,89,103,96,833,1006,1801,85,1005,562,97,1545
None,35.907999999999994,0,10.0,22.63958448256701,400,513.4811554934461,0.0021746839644048855,0.08329621380846325,0.048541041723479686,78.5997913395732,1722337720.965299,None,99.0,87256117,163372249,75547791,89503547,17423,15830,18698,16793,1962,91,1001,1010,96,96,124,111,915,1046,1851,84,990,516,94,1638
None,35.907999999999994,0,10.0,22.122189909236994,400,517.9866933162598,0.0021388612213980784,0.09481292517006802,0.057047909166435894,60.10020703309765,1722338530.132186,None,99.0,88310291,164928939,76489531,90785791,17252,15459,18933,16613,2033,135,1049,949,88,96,99,85,792,999,1832,97,1015,508,109,1573
None,35.907999999999994,0,10.0,22.01045735662505,400,507.7132119036306,0.002156861690703121,0.08935185185185185,0.056485949474879366,64.0639598348681,1722338561.6087718,None,99.0,85568690,159718567,73908021,88139860,16966,14746,18213,15977,1879,106,1028,957,87,88,114,86,840,933,1786,92,1028,506,107,1538
None,35.907999999999994,0,10.0,22.060627422092992,400,550.6643019515473,0.002200878047391905,0.08731537793223285,0.0561941251596424,71.69847029908088,1722339379.7049718,None,99.0,89837006,168184341,78430602,91665926,17952,16318,19726,17167,2018,113,1054,1079,88,83,102,84,948,1031,2057,95,1025,608,125,1638
None,35.907999999999994,0,10.0,22.14866535063101,400,554.2997650488331,0.002220523979265152,0.09706362153344208,0.056403622250970245,63.01894849875783,1722339411.770736,None,99.0,90190253,168899518,78735569,92038272,17975,16180,19623,17334,2113,123,1095,1041,115,101,103,91,970,1041,1945,98,1062,557,120,1702
