Corrections,Loss (dB),Fibre Length (km),Power (mW),Acquisition Time (s),Coincidence Window (ps),Brightness (cps),Heralding,Quantum Bit Error Rate,QX,Secure Key Rate (bps),Tstamp,exit_flag,H1550,V1550,D1550,A1550,H780,V780,D780,A780,H1550H780,H1550V780,H1550D780,H1550A780,V1550H780,V1550V780,V1550D780,V1550A780,D1550H780,D1550V780,D1550D780,D1550A780,A1550H780,A1550V780,A1550D780,A1550A780
None,39.96,10.0,5.0,29.749677457131973,1000,41.47944130749457,0.0009283075551563311,0.05818181818181818,0.07232704402515723,6.331151167495029,1721224096.4757237,None,17049257,23828902,25623760,23607244,4279,4453,7357,3521,123,8,74,58,8,136,81,89,76,83,158,11,103,77,12,137
None,39.96,10.0,5.0,29.749320073653013,1000,40.168985275678004,0.0008898384561420329,0.0846774193548387,0.08823529411764706,3.0327279780317165,1721224128.1847336,None,17046049,23860336,25647031,23625537,4223,4741,7507,3528,100,7,69,32,14,127,70,95,86,75,149,7,96,84,23,161
None,39.96,10.0,5.0,29.65575371356401,1000,41.10500821439083,0.0008878834173200142,0.08032128514056225,0.07449856733524356,4.402310739321944,1721224960.9545825,None,18039433,24821181,26639812,24868818,4222,4569,7540,3643,107,11,87,53,9,122,56,109,93,55,178,15,90,78,11,145
None,39.96,10.0,5.0,29.643600528721965,1000,43.41577868562267,0.0009375820586366489,0.057034220532319393,0.08488063660477453,5.758999634190981,1721224992.6497316,None,18040721,24802471,26629532,24871857,4243,4538,7534,3657,132,7,72,41,8,116,79,84,98,83,181,13,102,88,19,164
None,39.96,10.0,5.0,29.669346959573037,1000,41.08617562971606,0.0009054844303612599,0.07407407407407407,0.09883720930232558,3.1585953687006163,1721225825.8585262,None,17142033,23864709,25634638,23683267,4284,4655,7562,3564,129,8,81,50,12,121,72,80,90,73,155,13,84,75,21,155
None,39.96,10.0,5.0,29.609712002343997,1000,40.45969781486435,0.0008935745556339097,0.08823529411764706,0.08035714285714286,3.3583931498918678,1721225857.3962507,None,17109697,23758408,25555397,23641651,4221,4668,7557,3511,117,12,69,57,12,131,52,90,100,65,179,8,83,74,19,130
