Corrections,Loss (dB),Fibre Length (km),Power (mW),Acquisition Time (s),Coincidence Window (ps),Brightness (cps),Heralding,Quantum Bit Error Rate,QX,Secure Key Rate (bps),Tstamp,exit_flag,H1550,V1550,D1550,A1550,H780,V780,D780,A780,H1550H780,H1550V780,H1550D780,H1550A780,V1550H780,V1550V780,V1550D780,V1550A780,D1550H780,D1550V780,D1550D780,D1550A780,A1550H780,A1550V780,A1550D780,A1550A780
None,23.97,10.0,2.5,31.668515074330006,1000,765.0185031769305,0.007191098179484166,0.03699593044765076,0.042988125657598075,197.30834992995267,1721219450.9005055,None,9317617,13304472,14161636,13292553,56155,55872,62186,52448,2514,84,1368,994,116,2692,1322,1686,1950,1436,3246,150,1775,1637,136,3121
None,23.97,10.0,2.5,31.613889419118998,1000,775.6717205814585,0.007226197538914084,0.038231563689074106,0.04136289242672221,200.65430596672238,1721220447.2379837,None,9512809,13460166,14291320,13489792,56885,55882,61978,52148,2649,87,1365,1012,124,2659,1344,1797,1941,1438,3239,134,1825,1560,144,3204
None,23.97,10.0,2.5,31.713520879440004,1000,761.18952833301,0.0071343669144299186,0.04096658485935435,0.038753912654643015,196.67006468484578,1721222121.2267323,None,9648308,13569647,14437353,13684577,55271,53845,61124,52762,2426,93,1408,1028,124,2654,1212,1844,1922,1449,3187,134,1775,1496,126,3262
