Corrections,Loss (dB),Fibre Length (km),Power (mW),Acquisition Time (s),Coincidence Window (ps),Brightness (cps),Heralding,Quantum Bit Error Rate,QX,Secure Key Rate (bps),Tstamp,exit_flag,H1550,V1550,D1550,A1550,H780,V780,D780,A780,H1550H780,H1550V780,H1550D780,H1550A780,V1550H780,V1550V780,V1550D780,V1550A780,D1550H780,D1550V780,D1550D780,D1550A780,A1550H780,A1550V780,A1550D780,A1550A780
None,47.94,10.0,10.0,24.996865019679962,1000,16.08201667223096,0.00029686941399018117,0.23170731707317074,0.19811320754716982,-4.01338072193142,1721230751.872442,None,30163068,40451060,43755400,41131665,2229,3002,4885,1676,29,8,32,18,11,34,34,23,35,22,54,7,25,25,14,31
None,47.94,10.0,10.0,24.98250313542404,1000,18.212746638459578,0.0003370523911331287,0.13829787234042554,0.1678832116788321,-2.118171168461954,1721230780.505011,None,30154793,40576164,43857636,41153135,2324,2909,4795,1673,39,3,34,11,10,42,37,27,25,23,61,5,35,32,18,53
None,47.94,10.0,10.0,24.865976958697008,1000,18.418741429735462,0.0003432246818530892,0.17094017094017094,0.16806722689075632,-2.8835942866835937,1721231555.839273,None,29263494,39785310,42938303,40047645,2299,2939,4814,1660,55,7,25,12,13,42,24,34,35,31,62,6,36,25,14,37
None,47.94,10.0,10.0,24.95502600760104,1000,16.950493254190903,0.00031587678012807166,0.12359550561797752,0.16666666666666666,-1.6071686367092834,1721231584.3438637,None,29433280,39899365,43086218,40277709,2369,2887,4788,1700,40,4,25,23,7,38,37,28,36,25,51,1,35,23,16,34
None,47.94,10.0,10.0,25.019060567006992,1000,17.14692679411507,0.00031386052770707303,0.1111111111111111,0.16279069767441862,-1.2363150232383502,1721232361.9708357,None,29831926,40161460,43411558,40730576,2303,3043,5013,1762,49,6,22,12,6,47,23,24,34,32,61,12,24,21,9,47
None,47.94,10.0,10.0,25.009236849790025,1000,17.713455338950872,0.0003242642477384054,0.2,0.19130434782608696,-3.7740304678671324,1721232390.5625,None,29881864,40106979,43379728,40753620,2398,2965,5000,1747,30,6,41,23,10,34,40,38,33,26,46,5,29,18,17,47
