Corrections,Loss (dB),Fibre Length (km),Power (mW),Acquisition Time (s),Coincidence Window (ps),Brightness (cps),Heralding,Quantum Bit Error Rate,QX,Secure Key Rate (bps),Tstamp,exit_flag,H1550,V1550,D1550,A1550,H780,V780,D780,A780,H1550H780,H1550V780,H1550D780,H1550A780,V1550H780,V1550V780,V1550D780,V1550A780,D1550H780,D1550V780,D1550D780,D1550A780,A1550H780,A1550V780,A1550D780,A1550A780
None,29.91,10.0,2.5,36.75532471973501,1000,189.7412158150641,0.003384220518686113,0.041666666666666664,0.04942166140904311,44.22702557248071,1721219568.3373141,None,10634887,15181196,16151533,15159401,17953,18066,22415,15903,755,31,407,295,37,809,380,491,520,387,928,42,534,426,52,880
None,29.91,10.0,2.5,36.66095557370701,1000,205.55929004220417,0.0035054796334583896,0.035693387946167346,0.035305818000994534,57.29712782729819,1721220565.5433927,None,11062014,15744027,16721196,15749137,18838,18831,23253,17044,825,25,436,333,36,823,430,568,636,405,1005,39,539,469,32,935
None,29.91,10.0,2.5,36.77812171281,1000,198.78666064269245,0.003460593185253616,0.03489096573208723,0.04891041162227603,49.68612526129679,1721222236.7982388,None,11058460,15599205,16606337,15696657,18221,18030,22691,16757,759,17,420,314,39,790,386,530,533,431,922,52,575,452,49,1042
