Corrections,Loss (dB),Fibre Length (km),Power (mW),Acquisition Time (s),Coincidence Window (ps),Brightness (cps),Heralding,Quantum Bit Error Rate,QX,Secure Key Rate (bps),Tstamp,exit_flag,H1550,V1550,D1550,A1550,H780,V780,D780,A780,H1550H780,H1550V780,H1550D780,H1550A780,V1550H780,V1550V780,V1550D780,V1550A780,D1550H780,D1550V780,D1550D780,D1550A780,A1550H780,A1550V780,A1550D780,A1550A780
None,41.93,10.0,7.5,25.652152608910995,1000,38.74918472357389,0.0007187073036607103,0.07725321888412018,0.11494252873563218,1.800433670759961,1721227488.9720597,None,22396281,30594437,33028538,30771316,3566,3656,6352,2804,119,8,71,41,10,96,50,70,68,65,128,15,83,52,15,103
None,41.93,10.0,7.5,25.65598756571098,1000,38.62646087825765,0.0007170672027020004,0.09547738693467336,0.0975609756097561,1.6279295216915968,1721227517.3381608,None,22507808,30679733,33144965,30922979,3526,3706,6233,2824,88,10,65,41,9,92,60,79,74,57,153,8,71,58,20,106
None,41.93,10.0,7.5,25.641108600276038,1000,41.378866122371086,0.0007450867761436584,0.11946902654867257,0.1157556270096463,-0.9283117484565824,1721228325.3090217,None,21895943,30216995,32534880,30083559,3836,4346,6436,3056,104,11,58,40,16,95,65,78,81,76,144,11,78,48,25,131
None,41.93,10.0,7.5,25.613779081261022,1000,38.33873935136845,0.0006966594065078875,0.06607929515418502,0.12605042016806722,1.9624627178084963,1721228353.580941,None,21999615,30293846,32634659,30222691,3614,4310,6366,2965,110,7,63,40,8,102,64,61,76,60,114,13,73,80,17,94
None,41.93,10.0,7.5,25.624270757176966,1000,42.14754090894503,0.0007366664488738945,0.10276679841897234,0.10679611650485436,0.6768669844953242,1721229161.3350992,None,22827535,31176175,33699360,31308171,3833,4598,6510,3119,118,11,53,40,15,109,62,74,92,56,150,14,73,68,19,126
None,41.93,10.0,7.5,25.596290809961996,1000,44.65490756008867,0.0007757985565904944,0.09051724137931035,0.1111111111111111,1.3072214273464169,1721229189.7721124,None,22843868,31258019,33771237,31329161,3911,4503,6606,3190,111,7,73,56,14,100,62,75,86,73,146,12,98,73,23,134
