Corrections,Loss (dB),Fibre Length (km),Power (mW),Acquisition Time (s),Coincidence Window (ps),Brightness (cps),Heralding,Quantum Bit Error Rate,QX,Secure Key Rate (bps),Tstamp,exit_flag,H1550,V1550,D1550,A1550,H780,V780,D780,A780,H1550H780,H1550V780,H1550D780,H1550A780,V1550H780,V1550V780,V1550D780,V1550A780,D1550H780,D1550V780,D1550D780,D1550A780,A1550H780,A1550V780,A1550D780,A1550A780
None,28.0,10.0,7.5,21.204251736515005,1000,898.0274445246528,0.00463089324024366,0.06770713793894882,0.07047692604749951,123.47463442195819,1721227106.721766,None,18354608,25138102,27176432,25249362,44391,42469,48602,40814,1985,141,1119,813,154,2077,976,1325,1448,1194,2415,170,1469,1162,195,2399
None,28.0,10.0,7.5,21.166106092157996,1000,890.4330309004158,0.004601683299602468,0.0652839971718124,0.07929948839039748,112.29304994712643,1721227130.1043122,None,18323989,25069543,27085315,25177335,44874,42463,48027,39999,2028,132,1151,778,145,1938,994,1333,1509,1142,2397,195,1500,1115,208,2282
None,28.0,10.0,7.5,21.208741681961012,1000,949.9384877291391,0.004738817856037848,0.07389162561576355,0.07317073170731707,114.97687792327467,1721227943.1684332,None,18620871,25459311,27469765,25601901,47025,45073,51112,42840,2055,137,1218,825,193,2081,1071,1440,1590,1203,2676,204,1564,1235,201,2454
None,28.0,10.0,7.5,21.118671503685995,1000,966.159258476024,0.004832467352531064,0.06213211249182472,0.07170818505338078,141.0026000966543,1721227966.5111032,None,18488962,25214166,27244873,25396549,46757,45049,50370,42864,2162,131,1223,873,154,2140,1064,1472,1528,1199,2650,197,1589,1249,206,2567
None,28.0,10.0,7.5,21.178957954302007,1000,941.2172233880316,0.004754683122414094,0.06633427270756558,0.06769574111958342,136.7787795175415,1721228778.8170316,None,18436679,25266850,27316426,25307902,46396,45135,49994,40946,2145,124,1238,809,182,2162,1070,1350,1533,1192,2603,199,1554,1198,165,2410
None,28.0,10.0,7.5,21.139648210755997,1000,973.6680475849749,0.004844720201195126,0.0642221280203476,0.07375705700236751,134.47699750055978,1721228802.168308,None,18443594,25293123,27342518,25343344,47703,46084,51297,42114,2198,140,1270,811,163,2217,1063,1511,1625,1303,2634,194,1601,1190,211,2452
