Corrections,Loss (dB),Fibre Length (km),Power (mW),Acquisition Time (s),Coincidence Window (ps),Brightness (cps),Heralding,Quantum Bit Error Rate,QX,Secure Key Rate (bps),Tstamp,exit_flag,H1550,V1550,D1550,A1550,H780,V780,D780,A780,H1550H780,H1550V780,H1550D780,H1550A780,V1550H780,V1550V780,V1550D780,V1550A780,D1550H780,D1550V780,D1550D780,D1550A780,A1550H780,A1550V780,A1550D780,A1550A780
None,21.42,10.0,1,55.748175476793996,1000,556.1796369982853,0.009564976393392575,0.022386974850995785,0.03988269794721408,167.85644885060267,1721214138.1721214138,None,6963487,9687958,10365359,9866620,70616,69853,78622,65809,3261,67,1607,1411,87,3464,1662,2203,2708,1660,3969,212,2122,2229,128,4216
None,21.42,10.0,1,55.79311635802101,1000,513.8805980296916,0.009167233384534925,0.02696040671699276,0.03925429959301562,149.5972723915069,1721214138.7349477,None,6861087,9637668,10270689,9753118,67443,65908,73991,60481,3096,63,1594,1211,112,3220,1591,1960,2479,1609,3663,152,2140,1979,147,3655
None,21.42,10.0,1,55.60310753427897,1000,544.93357194686,0.009479853650389359,0.027773674102526222,0.0367962713111738,160.6174583601715,1721215659.4778988,None,6763179,9589523,10223126,9645820,71411,69400,77452,63779,3193,69,1681,1277,119,3388,1687,2087,2600,1714,3936,164,2235,2097,136,3917
None,21.42,10.0,1,55.627098484652976,1000,539.0897748922393,0.009387402994317888,0.026938532519720195,0.03902735562310031,157.2489611879229,1721217179.0203917,None,6860753,9725445,10319638,9766689,70773,67827,76369,63299,3208,72,1666,1274,109,3330,1615,2122,2494,1664,3972,174,2251,1958,147,3932
