Corrections,Loss (dB),Fibre Length (km),Power (mW),Acquisition Time (s),Coincidence Window (ps),Brightness (cps),Heralding,Quantum Bit Error Rate,QX,Secure Key Rate (bps),Tstamp,exit_flag,H1550,V1550,D1550,A1550,H780,V780,D780,A780,H1550H780,H1550V780,H1550D780,H1550A780,V1550H780,V1550V780,V1550D780,V1550A780,D1550H780,D1550V780,D1550D780,D1550A780,A1550H780,A1550V780,A1550D780,A1550A780
None,41.93,10.0,5.0,30.62247050132002,1000,24.589786116947717,0.0006119940193706343,0.059880239520958084,0.0871559633027523,3.0260904367603003,1721224164.080104,None,17495257,24496499,26320324,24246886,3355,3641,6677,2683,78,3,45,29,7,79,40,49,57,48,98,6,51,49,13,101
None,41.93,10.0,5.0,30.56956452016397,1000,25.777272668710342,0.0006424603791746309,0.0872093023255814,0.1073170731707317,1.045840529104062,1721224196.6513298,None,17444958,24489685,26303818,24197027,3328,3668,6665,2614,77,8,45,40,7,80,65,46,71,38,86,9,63,43,13,97
None,41.93,10.0,5.0,30.52932438344002,1000,27.088709517875493,0.0006561043450737707,0.07777777777777778,0.09130434782608696,2.2333438519504534,1721225028.5527215,None,18454602,25460820,27333840,25474543,3272,3754,6724,2676,92,6,46,34,8,74,45,53,64,59,112,8,59,57,13,97
None,41.93,10.0,5.0,30.662883236651986,1000,27.199007789427394,0.0006553324039959011,0.07407407407407407,0.13100436681222707,0.8005642973351381,1721225061.3173087,None,18496077,25493873,27381842,25540840,3438,3847,6743,2684,87,5,42,38,9,88,46,60,67,52,107,11,60,51,19,92
None,41.93,10.0,5.0,30.610375615501,1000,26.036923231886174,0.0006437323987716,0.06395348837209303,0.1415525114155251,0.8952383768806437,1721225893.3145401,None,17761397,24673030,26528111,24528073,3442,3604,6683,2667,77,8,46,31,3,84,44,55,56,54,100,8,67,53,23,88
None,41.93,10.0,5.0,30.630947773504012,1000,26.345903690843702,0.0006577210194731873,0.09523809523809523,0.0625,2.7530625523460883,1721225925.973101,None,17817138,24759357,26595731,24618853,3278,3639,6586,2548,70,7,46,27,9,82,51,56,51,46,106,6,67,55,9,119
