Corrections,Loss (dB),Fibre Length (km),Power (mW),Acquisition Time (s),Coincidence Window (ps),Brightness (cps),Heralding,Quantum Bit Error Rate,QX,Secure Key Rate (bps),Tstamp,exit_flag,H1550,V1550,D1550,A1550,H780,V780,D780,A780,H1550H780,H1550V780,H1550D780,H1550A780,V1550H780,V1550V780,V1550D780,V1550A780,D1550H780,D1550V780,D1550D780,D1550A780,A1550H780,A1550V780,A1550D780,A1550A780
None,23.97,10.0,7.5,19.924588704873997,1000,2320.298837018948,0.007549420279310917,0.06371137977355594,0.08442116782615493,278.9302632905946,1721227010.6432636,None,17439487,23793854,25684066,23924890,106103,99189,110716,96803,4870,273,2746,1882,391,4888,2437,3329,3583,2696,5981,538,3780,2563,542,5732
None,23.97,10.0,7.5,19.91139874962497,1000,2301.0939902382793,0.007505450417127961,0.06243977645018308,0.07424315233061028,323.7442302390336,1721227032.6800745,None,17380809,23735287,25649152,23860782,105320,99410,110087,96395,4883,283,2659,1956,365,4847,2452,3260,3534,2848,5975,478,3567,2678,449,5584
None,23.97,10.0,7.5,19.879456621050988,1000,2452.7833395791354,0.00772862876511,0.06814216181467536,0.07563652654371687,312.0352139099263,1721227846.8917656,None,17834142,24239615,26185298,24465767,110437,103242,114391,101196,5163,276,3082,2006,466,4984,2323,3618,3651,3056,6274,525,4047,2695,488,6106
None,23.97,10.0,7.5,19.883905288136013,1000,2469.1829541802513,0.007724069834288134,0.0683868639480332,0.06631398554504135,355.6983841824513,1721227868.9527564,None,17894146,24307035,26255249,24548446,111141,104625,116322,102334,5155,309,2937,2020,449,5171,2568,3558,3778,3013,6288,451,3881,2837,439,6243
None,23.97,10.0,7.5,19.880833149021004,1000,2363.331538865296,0.007586769820015527,0.060485364949981475,0.0663929896581669,376.14180787520246,1721228682.8473127,None,17267974,23778901,25674702,23737277,108310,104843,113933,96902,4995,281,2774,1971,372,5148,2419,3295,3756,2898,6158,439,3614,2795,402,5668
None,23.97,10.0,7.5,19.85742844539099,1000,2348.0885316156014,0.007563365979898263,0.060076614033448564,0.06522438475148785,380.8684714912605,1721228704.7749076,None,17149689,23596615,25477155,23574449,109372,103948,114194,95718,5093,246,2827,1850,397,4967,2518,3278,3684,2989,6043,388,3624,2720,423,5580
