Corrections,Loss (dB),Fibre Length (km),Power (mW),Acquisition Time (s),Coincidence Window (ps),Brightness (cps),Heralding,Quantum Bit Error Rate,QX,Secure Key Rate (bps),Tstamp,exit_flag,H1550,V1550,D1550,A1550,H780,V780,D780,A780,H1550H780,H1550V780,H1550D780,H1550A780,V1550H780,V1550V780,V1550D780,V1550A780,D1550H780,D1550V780,D1550D780,D1550A780,A1550H780,A1550V780,A1550D780,A1550A780
None,47.94,10.0,1,110.24037407968709,1000,1.9049282239209548,0.00013001399626825185,0.20833333333333334,0.2833333333333333,-0.5698001452718272,1721215465.5277095,None,13529673,19038894,20310155,19258248,6421,7845,17770,4130,21,6,11,10,4,17,19,6,15,14,24,3,15,12,14,19
None,47.94,10.0,1,110.14939243816687,1000,1.6159871249396272,0.00011055839691879888,0.11363636363636363,0.20408163265306123,-0.19456844791870823,1721215576.0611248,None,13465762,19054394,20326923,19198519,6089,7823,17853,4214,15,0,8,5,5,24,9,7,19,8,20,4,10,19,6,19
None,47.94,10.0,1,110.19078263777108,1000,1.3794257229270064,9.429822812220796e-05,0.17857142857142858,0.13953488372093023,-0.179298642792399,1721216984.5764494,None,13309828,18975131,20135041,18958398,6440,7758,17893,4310,15,1,8,9,4,8,11,4,16,7,24,2,17,9,4,13
None,47.94,10.0,1,110.09623039258405,1000,1.589518545512234,0.00010874646034676947,0.0975609756097561,0.3333333333333333,-0.30162058143429155,1721217095.041411,None,13392370,19104182,20241450,19081800,6443,7813,17677,4125,21,2,12,8,2,16,13,7,13,3,21,8,8,13,11,17
None,47.94,10.0,1,110.12611374730396,1000,1.634489712522037,0.00011210279278810306,0.15789473684210525,0.1702127659574468,-0.2349092616633455,1721218505.2143033,None,13410800,18997639,20177542,19113600,6330,7720,17762,4146,17,3,11,17,3,15,14,9,9,8,23,3,15,12,5,16
None,47.94,10.0,1,110.26432427175702,1000,1.5417498009693387,0.00010540476310093332,0.15151515151515152,0.2222222222222222,-0.2912546730892645,1721218615.8837593,None,13421953,19148549,20332181,19181275,6383,7831,17718,4154,11,3,10,9,2,17,11,10,14,11,23,2,9,18,8,12
