Corrections,Loss (dB),Fibre Length (km),Power (mW),Acquisition Time (s),Coincidence Window (ps),Brightness (cps),Heralding,Quantum Bit Error Rate,QX,Secure Key Rate (bps),Tstamp,exit_flag,H1550,V1550,D1550,A1550,H780,V780,D780,A780,H1550H780,H1550V780,H1550D780,H1550A780,V1550H780,V1550V780,V1550D780,V1550A780,D1550H780,D1550V780,D1550D780,D1550A780,A1550H780,A1550V780,A1550D780,A1550A780
None,45.95,10.0,1,106.10895559360809,1000,2.3089474270045365,0.00015627612009999107,0.12903225806451613,0.11940298507462686,-0.09515228850743042,1721215244.603705,None,13080742,18304831,19536313,18584129,6245,7773,17226,4117,27,2,10,11,6,27,11,16,13,16,39,6,20,19,2,20
None,45.95,10.0,1,106.014723275415,1000,2.358163019965883,0.00015949588772642915,0.0196078431372549,0.1,0.46193042255300637,1721215350.933283,None,13015542,18260178,19469636,18501080,6106,7752,17397,4225,20,1,15,11,0,30,18,9,21,11,44,0,20,14,8,28
None,45.95,10.0,1,106.00746586313778,1000,2.263991484428605,0.00015359287754727142,0.08571428571428572,0.06976744186046512,0.24105203354430116,1721216764.0211618,None,12866920,18286183,19459679,18336520,6286,7614,17489,4023,16,1,17,7,2,16,16,12,19,10,44,1,19,19,5,36
None,45.95,10.0,1,106.0277524831752,1000,2.225832336090017,0.00015126953558529388,0.10416666666666667,0.15873015873015872,-0.12612586134688894,1721216870.3540854,None,12821593,18226283,19385050,18271811,6281,7753,17232,4161,19,3,25,11,2,24,13,11,25,13,29,2,10,17,8,24
None,45.95,10.0,1,106.05886845316603,1000,2.583470896834942,0.0001751354200268031,0.08928571428571429,0.13432835820895522,-0.004225865681193174,1721218283.9706855,None,12929985,18264812,19436292,18422446,6348,7491,17407,4200,22,2,20,12,3,29,24,22,19,15,27,2,23,16,7,31
None,45.95,10.0,1,106.06862063692697,1000,2.290969737711489,0.00015532442094528135,0.09090909090909091,0.15625,-0.07418090381832022,1721218390.3527637,None,12917883,18269302,19421352,18404811,6283,7831,17286,4065,22,2,10,9,3,28,22,16,17,18,31,2,17,15,8,23
