Corrections,Loss (dB),Fibre Length (km),Power (mW),Acquisition Time (s),Coincidence Window (ps),Brightness (cps),Heralding,Quantum Bit Error Rate,QX,Secure Key Rate (bps),Tstamp,exit_flag,H1550,V1550,D1550,A1550,H780,V780,D780,A780,H1550H780,H1550V780,H1550D780,H1550A780,V1550H780,V1550V780,V1550D780,V1550A780,D1550H780,D1550V780,D1550D780,D1550A780,A1550H780,A1550V780,A1550D780,A1550A780
None,22.0,10.0,10.0,18.31542728585501,1000,5265.178829569317,0.0099795787928539,0.07362297764042901,0.08005721133402914,574.7430857729405,1721230067.2749867,None,21756089,29582042,31758745,29699677,217041,198711,219945,192131,10407,638,6005,4126,982,9977,5118,6769,7358,5747,12331,1018,7803,5635,1053,11467
None,22.0,10.0,10.0,18.393077716509,1000,5167.324439383662,0.009866593823167546,0.07451418985041242,0.07728981743478429,581.0521438562981,1721230088.366518,None,21848277,29638847,31835642,29801100,215239,196657,218775,189589,10200,624,5650,3934,975,9660,4964,6768,7572,5704,12343,1004,7571,5622,990,11462
None,22.0,10.0,10.0,18.332013285142995,1000,5501.85069316642,0.010227841208986902,0.08038147138964577,0.08428870142043406,493.4191862327306,1721230872.7343836,None,21853957,29413381,31820879,29864212,228100,201355,229446,202042,10953,705,6182,4212,1124,9972,5032,7228,7762,5884,12993,1195,8341,5727,1143,12407
None,22.0,10.0,10.0,18.372854344762015,1000,5547.09671603398,0.010236106589586324,0.07861020629750272,0.08038166835333237,552.5304088754808,1721230893.8168674,None,21909674,29489345,31903559,29935173,231940,205350,233723,204422,11141,710,6372,4166,1100,10074,5297,7175,7930,5990,13067,1114,8412,5881,1110,12377
None,22.0,10.0,10.0,18.43995341717201,1000,5274.091414430215,0.00995752100779171,0.07515759566722897,0.07811600322444436,579.1261941184272,1721231677.01673,None,21916595,29537017,31944154,29967103,225088,199451,226248,190674,10930,663,6025,4020,1030,9903,5125,6483,7842,5734,12515,1034,7778,5670,1001,11501
None,22.0,10.0,10.0,18.427548387283,1000,5253.98159132307,0.009925691659085419,0.07781744941865788,0.07990055459934978,535.1956547267399,1721231698.1412106,None,21903127,29622749,32007142,29949110,223534,199570,225136,190183,10513,711,6000,4036,989,9633,5057,6670,7617,5698,12615,983,8063,5686,1106,11441
