Corrections,Loss (dB),Fibre Length (km),Power (mW),Acquisition Time (s),Coincidence Window (ps),Brightness (cps),Heralding,Quantum Bit Error Rate,QX,Secure Key Rate (bps),Tstamp,exit_flag,H1550,V1550,D1550,A1550,H780,V780,D780,A780,H1550H780,H1550V780,H1550D780,H1550A780,V1550H780,V1550V780,V1550D780,V1550A780,D1550H780,D1550V780,D1550D780,D1550A780,A1550H780,A1550V780,A1550D780,A1550A780
None,37.97,10.0,5.0,29.000183481364978,1000,62.068572812880625,0.001209684803827485,0.05486284289276808,0.08405172413793104,8.596417194519441,1721224030.9365914,None,16660404,23180445,24945786,23057720,5630,5870,8985,4720,179,10,117,67,12,200,119,114,154,105,221,16,144,115,23,204
None,37.97,10.0,5.0,28.875623650963018,1000,63.1674668588212,0.001230094598768827,0.07838479809976247,0.078,6.583478938277115,1721224061.6595945,None,16546418,23040580,24801349,22897630,5693,5878,8865,4754,203,16,102,66,17,185,124,120,140,96,244,18,128,127,21,217
None,37.97,10.0,5.0,28.81931433800798,1000,62.666307005721514,0.0012039568376079517,0.045,0.049586776859504134,14.118592094102786,1721224895.4141972,None,17293363,23831648,25568026,23853071,5448,5930,8779,4694,174,12,114,77,6,208,100,142,132,125,253,16,130,102,8,207
None,37.97,10.0,5.0,28.744468275107003,1000,63.83836995826875,0.0012238299844339335,0.033419023136246784,0.06614785992217899,13.960195771710037,1721224926.131796,None,17339772,23939052,25675512,23914028,5451,5825,8780,4685,161,6,111,71,7,215,99,136,136,136,252,16,143,100,18,228
None,37.97,10.0,5.0,28.722036924438,1000,62.25185228693475,0.0012070516536989745,0.058823529411764705,0.0824524312896406,8.294466757811799,1721225760.4457076,None,16671251,23166410,24895928,23018297,5552,5821,8849,4783,207,12,108,68,14,209,100,110,136,121,228,14,128,102,25,206
None,37.97,10.0,5.0,28.813883162057014,1000,63.12929048019858,0.0012217613790427432,0.05491990846681922,0.06382978723404255,11.066455948311393,1721225791.1477618,None,16681055,23180810,24901445,23044762,5574,5983,8917,4770,208,14,88,75,10,205,99,137,122,120,224,9,149,122,21,216
