Corrections,Loss (dB),Fibre Length (km),Power (mW),Acquisition Time (s),Coincidence Window (ps),Brightness (cps),Heralding,Quantum Bit Error Rate,QX,Secure Key Rate (bps),Tstamp,exit_flag,H1550,V1550,D1550,A1550,H780,V780,D780,A780,H1550H780,H1550V780,H1550D780,H1550A780,V1550H780,V1550V780,V1550D780,V1550A780,D1550H780,D1550V780,D1550D780,D1550A780,A1550H780,A1550V780,A1550D780,A1550A780
None,28.0,10.0,5.0,24.325379849276008,1000,627.4927707019671,0.004624478022150232,0.05631747884447038,0.05971924815607899,113.2689569414914,1721223733.5513222,None,14656156,19921004,21551465,20147531,35609,34538,39720,32964,1610,76,929,639,117,1624,767,1097,1194,932,2072,121,1176,900,130,1880
None,28.0,10.0,5.0,24.227878003993027,1000,620.6073844982172,0.004602791630621178,0.049749779216956135,0.06109481915933529,118.81255824155197,1721223759.4037633,None,14421831,19830183,21370535,19831671,35108,34545,39188,32588,1566,70,904,636,99,1662,786,1086,1166,914,1981,131,1138,917,119,1861
None,28.0,10.0,5.0,24.311238752323977,1000,592.0307124878256,0.004511434485378584,0.05177195685670262,0.05708354955889985,115.554281397835,1721224598.3865979,None,14317347,19993420,21451038,19863476,33290,33303,37571,30424,1483,83,842,586,85,1594,823,1015,1141,929,1859,111,1004,954,109,1775
None,28.0,10.0,5.0,24.228236772887005,1000,593.8938163301359,0.004528607408853534,0.05054811205846529,0.05312016503352243,122.2747419198847,1721224624.2858293,None,14283754,19892203,21349491,19778840,33501,33376,37170,30017,1524,77,840,604,89,1594,752,1027,1108,876,1880,109,1128,892,97,1792
None,28.0,10.0,5.0,24.30178674250002,1000,620.0778633962201,0.004618474649303972,0.0644384221619994,0.062485207100591716,98.5769648956053,1721225463.6773827,None,14526346,20032616,21505956,20015575,34966,33835,38744,32381,1548,85,878,571,129,1559,740,1135,1139,956,2012,128,1201,903,136,1949
None,28.0,10.0,5.0,24.271496021939,1000,615.6604432826483,0.0045785221383177095,0.05742049469964664,0.05969424896869692,109.7879617748508,1721225489.5651593,None,14462817,20005905,21455338,19945964,34970,33806,39127,32493,1597,91,879,592,104,1604,828,1060,1179,907,1987,122,1097,884,124,1888
