Corrections,Loss (dB),Fibre Length (km),Power (mW),Acquisition Time (s),Coincidence Window (ps),Brightness (cps),Heralding,Quantum Bit Error Rate,QX,Secure Key Rate (bps),Tstamp,exit_flag,H1550,V1550,D1550,A1550,H780,V780,D780,A780,H1550H780,H1550V780,H1550D780,H1550A780,V1550H780,V1550V780,V1550D780,V1550A780,D1550H780,D1550V780,D1550D780,D1550A780,A1550H780,A1550V780,A1550D780,A1550A780
None,33.96,10.0,2.5,40.12226757133801,1000,81.00240082945088,0.0020563546755893794,0.04087193460490463,0.04508670520231214,19.78796088710602,1721219656.3364987,None,11511516,16594465,17613697,16456726,8998,9734,13527,7915,334,12,178,163,18,370,184,229,257,202,417,17,230,208,22,409
None,33.96,10.0,2.5,40.19336862166203,1000,82.12797566365067,0.00199827549538863,0.03230148048452221,0.055378061767838126,19.931515287954902,1721220656.0567286,None,12140634,17220315,18291975,17271873,9652,9735,14228,8416,373,10,183,136,14,346,152,249,263,187,441,28,255,194,24,446
None,33.96,10.0,2.5,40.22328916834,1000,79.95368023088807,0.001982828895323142,0.041666666666666664,0.043478260869565216,19.672564583158156,1721222323.5334764,None,12015771,16930905,18041437,17056710,9428,9676,13783,8188,313,14,179,136,16,377,171,247,244,180,427,11,232,210,28,431
