Corrections,Loss (dB),Fibre Length (km),Power (mW),Acquisition Time (s),Coincidence Window (ps),Brightness (cps),Heralding,Quantum Bit Error Rate,QX,Secure Key Rate (bps),Tstamp,exit_flag,H1550,V1550,D1550,A1550,H780,V780,D780,A780,H1550H780,H1550V780,H1550D780,H1550A780,V1550H780,V1550V780,V1550D780,V1550A780,D1550H780,D1550V780,D1550D780,D1550A780,A1550H780,A1550V780,A1550D780,A1550A780
None,47.94,10.0,7.5,27.578319048251036,1000,12.654868463498065,0.00029085365145759527,0.1076923076923077,0.10526315789473684,0.13682101872217756,1721227675.6679337,None,24606732,33568463,36229406,33816863,2145,2411,5078,1595,28,3,21,14,4,30,30,26,27,22,47,3,27,22,7,38
None,47.94,10.0,7.5,27.564326677727042,1000,13.423146675263183,0.0003107046685526414,0.12658227848101267,0.16346153846153846,-1.278666951770861,1721227706.2337825,None,24611452,33315653,36003808,33745631,2051,2506,4999,1551,38,7,30,11,3,31,23,32,21,23,50,5,31,16,12,37
None,47.94,10.0,7.5,27.62679698825307,1000,11.763940645677826,0.0002653571090787297,0.13636363636363635,0.23636363636363636,-2.138545330985895,1721228511.4411938,None,23582755,32741877,35300776,32519952,2296,3143,5026,1618,30,6,25,8,3,27,18,16,22,18,46,7,25,17,19,38
None,47.94,10.0,7.5,27.54040753180396,1000,12.67228887578991,0.0002843799222442745,0.14285714285714285,0.1782178217821782,-1.6970445432665742,1721228541.8932574,None,23523750,32638885,35217198,32436113,2314,3070,5170,1610,27,4,37,12,6,33,27,19,20,16,45,7,25,22,11,38
None,47.94,10.0,7.5,27.55997054737799,1000,13.933251464832685,0.0003080277466975984,0.13253012048192772,0.1792452830188679,-1.6912157234422434,1721229348.1621757,None,24315751,33121990,35802617,33316127,2310,3240,4988,1742,30,4,29,13,7,42,30,26,26,21,47,5,26,24,14,40
None,47.94,10.0,7.5,27.48617897906602,1000,12.733672449217712,0.00028237438566203985,0.16091954022988506,0.22916666666666666,-2.62988945196623,1721229378.5994334,None,24160388,32995378,35661140,33132714,2338,3061,5089,1710,39,6,19,14,8,34,24,12,28,22,39,4,26,22,18,35
