Corrections,Loss (dB),Fibre Length (km),Power (mW),Acquisition Time (s),Coincidence Window (ps),Brightness (cps),Heralding,Quantum Bit Error Rate,QX,Secure Key Rate (bps),Tstamp,exit_flag,H1550,V1550,D1550,A1550,H780,V780,D780,A780,H1550H780,H1550V780,H1550D780,H1550A780,V1550H780,V1550V780,V1550D780,V1550A780,D1550H780,D1550V780,D1550D780,D1550A780,A1550H780,A1550V780,A1550D780,A1550A780
None,33.96,10.0,1,81.47684346290208,1000,33.11370305144982,0.0016518408355013043,0.02138157894736842,0.046703296703296704,9.580569352617273,1721214646.123921,None,10349935,14407536,15398677,14680838,10365,11065,18742,8477,293,6,146,129,7,302,131,189,226,135,337,16,219,187,18,357
None,33.96,10.0,1,81.31765763899195,1000,33.84258818936284,0.0016817403486306432,0.028037383177570093,0.034574468085106384,10.13095655862421,1721216166.1659613,None,10225317,14326141,15306215,14547145,10434,11236,19064,8486,323,7,154,123,11,301,134,180,217,170,367,12,189,191,14,359
None,33.96,10.0,1,81.47358275698599,1000,32.94319347665927,0.0016269040550370509,0.027777777777777776,0.036585365853658534,9.725934035845844,1721217685.3011649,None,10403845,14597644,15549981,14768873,10458,11111,19038,8592,276,10,160,127,6,284,132,192,208,146,352,13,229,176,14,359
