Corrections,Loss (dB),Fibre Length (km),Power (mW),Acquisition Time (s),Coincidence Window (ps),Brightness (cps),Heralding,Quantum Bit Error Rate,QX,Secure Key Rate (bps),Tstamp,exit_flag,angle,H1550,V1550,D1550,A1550,H780,V780,D780,A780,H1550H780,H1550V780,H1550D780,H1550A780,V1550H780,V1550V780,V1550D780,V1550A780,D1550H780,D1550V780,D1550D780,D1550A780,A1550H780,A1550V780,A1550D780,A1550A780
None,48.03,0.0,1.0,108.68268495489001,50,9.661152560187618,0.00015064966344228886,0.07142857142857142,0.05084745762711865,1.6365104882615709,1728918702.0886898,None,0,38911057,36925909,39412673,31163578,51396,158621,44130,77642,172,13,50,97,6,75,76,63,84,79,106,7,54,45,5,118
None,48.03,0.0,1.0,108.68268495489001,60,11.602584169901512,0.00018092307200069167,0.07453416149068323,0.04395604395604396,2.072417500588522,1728918705.248891,None,0,38911057,36925909,39412673,31163578,51396,158621,44130,77642,213,16,68,123,8,85,86,73,100,94,125,7,68,54,5,136
None,48.03,0.0,1.0,108.68268495489001,70,13.2771839470007,0.0002070356803306884,0.07277628032345014,0.040880503144654086,2.5059715300520717,1728918708.407981,None,0,38911057,36925909,39412673,31163578,51396,158621,44130,77642,249,18,77,140,9,95,96,87,114,100,148,8,81,59,5,157
None,48.03,0.0,1.0,108.68268495489001,80,14.942582626423517,0.0002330048127907401,0.06971153846153846,0.03571428571428571,3.0846640016163196,1728918711.5706303,None,0,38911057,36925909,39412673,31163578,51396,158621,44130,77642,280,20,89,156,9,107,108,99,128,111,171,8,91,62,5,180
None,48.03,0.0,1.0,108.68268495489001,90,16.699992282610026,0.0002604087039502422,0.06595744680851064,0.031630170316301706,3.73114930739158,1728918714.7268393,None,0,38911057,36925909,39412673,31163578,51396,158621,44130,77642,315,22,100,173,9,124,119,108,143,126,199,8,98,67,5,199
None,48.03,0.0,1.0,108.68268495489001,100,18.273379985269152,0.00028494307771084347,0.062135922330097085,0.03056768558951965,4.265949311821623,1728918717.8841777,None,0,38911057,36925909,39412673,31163578,51396,158621,44130,77642,343,23,107,190,9,140,131,119,154,133,221,8,108,71,6,223
None,48.03,0.0,1.0,108.68268495489001,110,19.94797976236834,0.0003110556860408402,0.06227758007117438,0.03143418467583497,4.608437230065938,1728918721.03482,None,0,38911057,36925909,39412673,31163578,51396,158621,44130,77642,371,24,117,203,11,156,142,128,167,142,241,10,123,75,6,252
None,48.03,0.0,1.0,108.68268495489001,120,21.558171855732944,0.0003361639632812217,0.061461794019933555,0.03046594982078853,5.066776293438643,1728918724.189827,None,0,38911057,36925909,39412673,31163578,51396,158621,44130,77642,393,26,120,220,11,172,149,136,181,158,266,10,140,79,7,275
None,48.03,0.0,1.0,108.68268495489001,130,22.864727725777364,0.00035653753681341694,0.05984251968503937,0.031932773109243695,5.363912508366808,1728918727.3416386,None,0,38911057,36925909,39412673,31163578,51396,158621,44130,77642,411,26,133,233,12,186,155,141,193,167,280,12,146,87,7,296
None,48.03,0.0,1.0,108.68268495489001,140,24.22649018188,0.00037777196556528246,0.061855670103092786,0.03365384615384615,5.485305392347784,1728918730.4954822,None,0,38911057,36925909,39412673,31163578,51396,158621,44130,77642,440,30,137,244,12,197,161,145,207,181,298,12,155,100,9,305
None,48.03,0.0,1.0,108.68268495489001,150,25.496241661218946,0.0003975716356176975,0.06442577030812324,0.03343465045592705,5.658854090577562,1728918733.6557376,None,0,38911057,36925909,39412673,31163578,51396,158621,44130,77642,451,32,145,256,14,217,168,155,215,192,318,13,162,106,9,318
None,48.03,0.0,1.0,108.68268495489001,160,26.66478106611783,0.00041579307110071724,0.06951871657754011,0.0364963503649635,5.4647367387670185,1728918736.815979,None,0,38911057,36925909,39412673,31163578,51396,158621,44130,77642,466,37,152,271,15,230,183,158,222,199,331,14,169,111,11,329
None,48.03,0.0,1.0,108.68268495489001,170,27.82411937334034,0.0004338710307137919,0.06777493606138107,0.03765690376569038,5.717734057241584,1728918739.9609623,None,0,38911057,36925909,39412673,31163578,51396,158621,44130,77642,483,38,158,280,15,246,192,166,228,209,352,15,177,115,12,338
None,48.03,0.0,1.0,108.68268495489001,180,29.011060973591963,0.00045237941793670167,0.07448107448107448,0.037889039242219216,5.5852638317408525,1728918743.1015553,None,0,38911057,36925909,39412673,31163578,51396,158621,44130,77642,497,43,162,298,18,261,197,173,241,218,362,15,185,121,13,349
