Corrections,Loss (dB),Fibre Length (km),Power (mW),Acquisition Time (s),Coincidence Window (ps),Brightness (cps),Heralding,Quantum Bit Error Rate,QX,Secure Key Rate (bps),Tstamp,exit_flag,angle,H1550,V1550,D1550,A1550,H780,V780,D780,A780,H1550H780,H1550V780,H1550D780,H1550A780,V1550H780,V1550V780,V1550D780,V1550A780,D1550H780,D1550V780,D1550D780,D1550A780,A1550H780,A1550V780,A1550D780,A1550A780
None,47.07,0.0,1.0,106.67827887106009,50,11.52062081434092,0.0001781340486438938,0.06535947712418301,0.04482758620689655,2.2328858894192622,1728917988.1968699,None,0,38889136,36025895,38103977,31517406,51337,156833,43803,77358,204,8,57,136,12,82,88,75,85,79,122,9,70,43,4,155
None,47.07,0.0,1.0,106.67827887106009,60,13.695384060009832,0.00021176065505999092,0.06043956043956044,0.04011461318051576,2.9307794295164475,1728917991.334535,None,0,38889136,36025895,38103977,31517406,51337,156833,43803,77358,244,8,70,154,14,98,107,92,99,95,150,9,86,45,5,185
None,47.07,0.0,1.0,106.67827887106009,70,15.673293736027679,0.0002423434738263551,0.06310679611650485,0.0392156862745098,3.304394682367269,1728917994.5106823,None,0,38889136,36025895,38103977,31517406,51337,156833,43803,77358,272,11,77,174,15,114,122,106,119,105,175,11,94,55,5,217
None,47.07,0.0,1.0,106.67827887106009,80,17.698073309581495,0.0002736510039378938,0.057569296375266525,0.036637931034482756,4.031812861444218,1728917997.6378171,None,0,38889136,36025895,38103977,31517406,51337,156833,43803,77358,309,12,90,198,15,133,137,117,133,117,207,12,102,61,5,240
None,47.07,0.0,1.0,106.67827887106009,90,19.497877374962663,0.0003014799195925949,0.056530214424951264,0.03333333333333333,4.637018123827207,1728918000.7493515,None,0,38889136,36025895,38103977,31517406,51337,156833,43803,77358,337,13,103,220,16,147,146,123,147,134,229,12,119,65,5,264
None,47.07,0.0,1.0,106.67827887106009,100,21.250811542807863,0.00032858412390212146,0.0528169014084507,0.03237410071942446,5.265886203017634,1728918003.8817494,None,0,38889136,36025895,38103977,31517406,51337,156833,43803,77358,373,13,110,230,17,165,156,139,162,145,251,12,128,73,6,287
None,47.07,0.0,1.0,106.67827887106009,110,23.050615608189034,0.00035641303955682253,0.05519480519480519,0.03177257525083612,5.632742071696222,1728918007.0115118,None,0,38889136,36025895,38103977,31517406,51337,156833,43803,77358,397,15,119,248,19,185,164,147,176,166,272,12,142,83,7,307
None,47.07,0.0,1.0,106.67827887106009,120,24.878541612091784,0.00038467678201862827,0.058734939759036146,0.0327613104524181,5.840753175705324,1728918010.1374505,None,0,38889136,36025895,38103977,31517406,51337,156833,43803,77358,428,18,130,264,21,197,177,158,189,182,293,14,157,92,7,327
None,47.07,0.0,1.0,106.67827887106009,130,26.56585792338663,0.0004107663904449105,0.057746478873239436,0.030837004405286344,6.415578492808413,1728918013.2659645,None,0,38889136,36025895,38103977,31517406,51337,156833,43803,77358,453,19,139,276,22,216,193,168,211,190,309,14,167,99,7,351
None,47.07,0.0,1.0,106.67827887106009,140,28.300044132217444,0.0004375807102163673,0.057667103538663174,0.031767955801104975,6.773675794766187,1728918016.5080342,None,0,38889136,36025895,38103977,31517406,51337,156833,43803,77358,478,22,153,292,22,241,203,175,222,206,332,15,174,107,8,369
None,47.07,0.0,1.0,106.67827887106009,150,29.85612473041158,0.00046164112687616094,0.062266500622665005,0.029947916666666668,7.00860983706276,1728918019.6302722,None,0,38889136,36025895,38103977,31517406,51337,156833,43803,77358,498,24,161,305,26,255,219,183,231,217,356,15,184,114,8,389
None,47.07,0.0,1.0,106.67827887106009,160,31.32783951304097,0.00048439706311464043,0.06436233611442194,0.0322180916976456,7.050016520125526,1728918022.748162,None,0,38889136,36025895,38103977,31517406,51337,156833,43803,77358,513,28,175,312,26,272,229,190,243,226,373,16,197,124,10,408
