Corrections,Loss (dB),Fibre Length (km),Power (mW),Acquisition Time (s),Coincidence Window (ps),Brightness (cps),Heralding,Quantum Bit Error Rate,QX,Secure Key Rate (bps),Tstamp,exit_flag,angle,H1550,V1550,D1550,A1550,H780,V780,D780,A780,H1550H780,H1550V780,H1550D780,H1550A780,V1550H780,V1550V780,V1550D780,V1550A780,D1550H780,D1550V780,D1550D780,D1550A780,A1550H780,A1550V780,A1550D780,A1550A780
None,48.93,0.0,1.0,110.52651851028502,50,7.4280816139486205,0.0001164347910226197,0.1,0.015873015873015872,1.535420647153057,1728919427.9922159,None,0,39616878,37842228,40584821,31608319,50980,159856,43537,77856,146,14,38,75,7,43,59,41,82,52,93,3,44,31,0,93
None,48.93,0.0,1.0,110.52651851028502,60,8.866650403982518,0.0001389842816104352,0.10040160642570281,0.017391304347826087,1.7875213459298818,1728919431.2090242,None,0,39616878,37842228,40584821,31608319,50980,159856,43537,77856,167,17,48,89,8,57,75,47,96,60,116,3,52,34,1,110
None,48.93,0.0,1.0,110.52651851028502,70,10.088076735143376,0.00015813007550575026,0.09818181818181818,0.03076923076923077,1.707707522127142,1728919434.4339538,None,0,39616878,37842228,40584821,31608319,50980,159856,43537,77856,181,18,55,108,9,67,90,50,109,68,129,4,63,37,4,123
None,48.93,0.0,1.0,110.52651851028502,80,11.553788332536405,0.00018110502818012832,0.10158730158730159,0.025559105431309903,2.0472506186333304,1728919437.6603124,None,0,39616878,37842228,40584821,31608319,50980,159856,43537,77856,205,23,62,122,9,78,103,52,123,80,157,4,68,39,4,148
None,48.93,0.0,1.0,110.52651851028502,90,12.748071856338132,0.00019982535998888082,0.10601719197707736,0.023529411764705882,2.23978849475361,1728919440.8753698,None,0,39616878,37842228,40584821,31608319,50980,159856,43537,77856,227,25,73,132,12,85,113,65,127,86,170,4,76,48,4,162
None,48.93,0.0,1.0,110.52651851028502,100,14.005688597311163,0.00021953843666627928,0.10204081632653061,0.02168021680216802,2.6176285071799645,1728919444.0972958,None,0,39616878,37842228,40584821,31608319,50980,159856,43537,77856,256,28,81,142,12,96,125,71,130,93,181,4,88,57,4,180
None,48.93,0.0,1.0,110.52651851028502,110,15.064258084317238,0.000236131458042219,0.09738717339667459,0.020460358056265986,2.977634692093523,1728919447.3265367,None,0,39616878,37842228,40584821,31608319,50980,159856,43537,77856,275,29,85,160,12,105,129,81,141,104,192,4,93,60,4,191
None,48.93,0.0,1.0,110.52651851028502,120,16.358065235102444,0.0002564118175017009,0.1019522776572668,0.02386634844868735,2.9625739009753436,1728919450.563293,None,0,39616878,37842228,40584821,31608319,50980,159856,43537,77856,298,32,97,173,15,116,141,88,146,112,208,6,107,64,4,201
None,48.93,0.0,1.0,110.52651851028502,130,17.38949191474939,0.00027257937679107805,0.09631147540983606,0.024390243902439025,3.2812230440756873,1728919453.7926142,None,0,39616878,37842228,40584821,31608319,50980,159856,43537,77856,317,32,101,188,15,124,146,91,158,120,226,6,113,66,5,214
None,48.93,0.0,1.0,110.52651851028502,140,18.520442221379813,0.0002903069637311846,0.09423076923076923,0.025052192066805846,3.5246920062580482,1728919457.0164094,None,0,39616878,37842228,40584821,31608319,50980,159856,43537,77856,332,33,108,202,16,139,154,99,167,125,239,6,122,71,6,228
