Corrections,Loss (dB),Fibre Length (km),Power (mW),Acquisition Time (s),Coincidence Window (ps),Brightness (cps),Heralding,Quantum Bit Error Rate,QX,Secure Key Rate (bps),Tstamp,exit_flag,H1550,V1550,D1550,A1550,H780,V780,D780,A780,H1550H780,H1550V780,H1550D780,H1550A780,V1550H780,V1550V780,V1550D780,V1550A780,D1550H780,D1550V780,D1550D780,D1550A780,A1550H780,A1550V780,A1550D780,A1550A780
None,22.0,10.0,7.5,19.302388844955015,1000,3467.757309090516,0.009018267662490483,0.06927967490332307,0.08095502498611883,400.9331805867891,1721303814.6052365,None,17265982,23675820,25410424,23785579,156318,154027,155962,144869,7198,415,4265,2572,642,7002,3108,4912,4694,4547,8447,755,5830,3741,703,8105
None,22.0,10.0,7.5,19.20505114968899,1000,3438.3662654847635,0.009005199331817341,0.07030989670109963,0.0748844719113635,428.12518982597066,1721303835.937248,None,17030807,23365478,25083643,23459002,154061,152322,154458,143743,7088,446,4157,2593,609,6862,3063,4913,4635,4352,8491,682,5634,3721,663,8125
None,22.0,10.0,7.5,19.236032125228995,1000,3706.6376025898426,0.009293042756738363,0.07389468455042225,0.08647734262866516,361.5943276865181,1721304398.760803,None,17576326,23889713,25680307,24191429,163952,159293,163701,157557,7587,495,4542,2800,695,7327,3234,5544,4932,4688,8817,851,6221,3728,836,9004
None,22.0,10.0,7.5,19.23716959279699,1000,3689.731987733641,0.00928495296500626,0.07218485301444942,0.08481729284611425,381.9711583481403,1721304420.1067774,None,17520328,23816524,25600242,24098104,163212,158694,163060,156987,7595,475,4439,2969,684,7302,3229,5335,4758,4759,8901,855,6180,3825,793,8881
None,22.0,10.0,7.5,19.230166223243987,1000,3685.4075610816317,0.009349203392803209,0.07749213981875347,0.09705882352941177,271.09362686593727,1721304982.1050181,None,17163716,23517368,25310149,23660986,164651,160470,163806,152027,7550,523,4453,2695,734,7414,3262,5315,4831,4881,8841,921,6397,3776,927,8351
None,22.0,10.0,7.5,19.184097677551012,1000,3642.3396697863377,0.009243841127452967,0.07176100628930818,0.08017994178354063,409.2638649964857,1721305003.3624885,None,17204390,23614616,25394879,23729538,162783,159132,162161,151210,7385,455,4404,2783,686,7374,3233,5206,4958,4587,8844,758,6077,3832,757,8536
