Corrections,Loss (dB),Fibre Length (km),Power (mW),Acquisition Time (s),Coincidence Window (ps),Brightness (cps),Heralding,Quantum Bit Error Rate,QX,Secure Key Rate (bps),Tstamp,exit_flag,H1550,V1550,D1550,A1550,H780,V780,D780,A780,H1550H780,H1550V780,H1550D780,H1550A780,V1550H780,V1550V780,V1550D780,V1550A780,D1550H780,D1550V780,D1550D780,D1550A780,A1550H780,A1550V780,A1550D780,A1550A780
None,33.96,10.0,2.5,40.21299625235797,1000,71.39482922344175,0.0010896625044058055,0.088379705400982,0.10062893081761007,3.4974781803704205,1721297282.922102,None,11419579,15314354,16603869,15718117,24767,37570,26943,28269,259,29,180,113,25,298,146,194,218,205,337,46,244,165,34,378
None,33.96,10.0,2.5,40.21932772962001,1000,75.56068615641955,0.0011264467544205375,0.0796812749003984,0.09205548549810845,5.880550249238945,1721297839.3985193,None,11795896,16057066,17332911,16290802,25338,37945,26622,28489,342,30,176,124,30,351,140,212,238,194,350,35,226,183,38,370
None,33.96,10.0,2.5,40.22442641625299,1000,85.42073327394067,0.0012335369798913683,0.08311688311688312,0.07415485278080698,8.785160408066663,1721298397.0584,None,12345331,16623760,18009613,17002992,25547,38971,27360,29390,338,34,214,145,30,368,157,256,263,225,418,37,273,216,31,431
