Corrections,Loss (dB),Fibre Length (km),Power (mW),Acquisition Time (s),Coincidence Window (ps),Brightness (cps),Heralding,Quantum Bit Error Rate,QX,Secure Key Rate (bps),Tstamp,exit_flag,H1550,V1550,D1550,A1550,H780,V780,D780,A780,H1550H780,H1550V780,H1550D780,H1550A780,V1550H780,V1550V780,V1550D780,V1550A780,D1550H780,D1550V780,D1550D780,D1550A780,A1550H780,A1550V780,A1550D780,A1550A780
None,37.97,10.0,7.5,24.480173695139,1000,112.09070794072318,0.0009230071769213313,0.14606741573033707,0.16275862068965516,-13.494559505780085,1721304226.0545967,None,22621069,30644844,32988153,31105081,15768,24081,16866,18593,250,51,172,110,40,282,120,219,162,213,283,62,221,179,56,324
None,37.97,10.0,7.5,24.459709945675996,1000,115.45517122942124,0.000946105713298142,0.15269461077844312,0.1655450874831763,-15.237446789207935,1721304253.2371047,None,22635764,30663635,33010964,31110597,16095,24134,16981,18666,277,56,161,117,46,289,122,207,172,213,310,63,250,171,60,310
None,37.97,10.0,7.5,24.430055103109,1000,113.87612464476017,0.0009500274851087066,0.14660493827160495,0.1668806161745828,-14.336861669080315,1721304809.8160198,None,21773053,29793020,32029668,29995994,16071,23935,16916,18569,263,47,146,118,48,290,116,213,191,201,332,78,195,175,52,317
None,37.97,10.0,7.5,24.369212479190008,1000,114.2425099858022,0.0009577866125838349,0.160741885625966,0.18194444444444444,-18.301294174605008,1721304836.905362,None,21638614,29578459,31813240,29797898,15963,23895,16829,18196,251,60,179,106,44,292,107,212,183,225,301,67,231,174,64,288
None,37.97,10.0,7.5,24.347834278191005,1000,115.78031819138232,0.0009540556273359923,0.15568862275449102,0.17435897435897435,-16.873513958200064,1721305391.932745,None,22213582,30391145,32683985,30638220,16353,24176,16307,18475,263,48,163,118,56,301,116,203,185,207,324,72,205,174,64,320
None,37.97,10.0,7.5,24.321118755807028,1000,115.5785647947972,0.0009515976797941946,0.13043478260869565,0.15633423180592992,-10.638814591205321,1721305418.9096446,None,22236900,30344053,32650717,30668324,16126,23960,16509,18694,269,41,167,128,43,291,120,216,177,200,329,78,225,192,38,297
