Corrections,Loss (dB),Fibre Length (km),Power (mW),Acquisition Time (s),Coincidence Window (ps),Brightness (cps),Heralding,Quantum Bit Error Rate,QX,Secure Key Rate (bps),Tstamp,exit_flag,H1550,V1550,D1550,A1550,H780,V780,D780,A780,H1550H780,H1550V780,H1550D780,H1550A780,V1550H780,V1550V780,V1550D780,V1550A780,D1550H780,D1550V780,D1550D780,D1550A780,A1550H780,A1550V780,A1550D780,A1550A780
None,37.97,10.0,5.0,28.789334465242007,1000,68.8102047788463,0.000747637295318095,0.11801242236024845,0.1256931608133087,-2.378347227355536,1721300797.5823402,None,16807180,22899314,24650577,23114361,16595,26289,17852,19528,188,26,118,82,31,238,105,121,138,131,239,36,145,117,32,234
None,37.97,10.0,5.0,28.984420638351,1000,66.62199752390357,0.0007206545911948905,0.1608695652173913,0.11728395061728394,-5.259430954010058,1721300828.4169192,None,16998571,23114839,24907521,23367165,16845,26637,18252,19496,186,45,123,81,29,200,87,134,137,134,221,29,157,132,28,208
None,37.97,10.0,5.0,28.826057986098,1000,79.96237297210867,0.0008393200569519208,0.15689981096408318,0.17207792207792208,-11.565647402411834,1721301372.3016732,None,17820457,23943857,25811534,24458152,17012,26780,18167,19989,211,43,135,91,40,235,109,149,167,137,265,58,205,167,48,245
None,37.97,10.0,5.0,28.832237741205983,1000,73.56348886402057,0.000776021327162306,0.13184584178498987,0.1442125237191651,-5.798434668838914,1721301403.1142366,None,17733694,23806048,25688651,24334263,17144,26658,18321,19463,228,33,121,85,32,200,94,169,146,163,239,33,191,132,43,212
None,37.97,10.0,5.0,28.817755769098987,1000,75.99481436192602,0.0008169600823515331,0.15723270440251572,0.16091954022988506,-10.037123998104699,1721301946.2104568,None,16862415,22990574,24832833,23198985,17094,26394,18338,19940,193,42,125,93,33,209,107,162,136,164,250,57,173,144,41,261
None,37.97,10.0,5.0,28.856750752589033,1000,69.55044998681744,0.0007521001356272229,0.1625,0.14339622641509434,-8.113808452747262,1721301976.936969,None,16730397,22877766,24689781,23037128,17241,26381,18070,19845,196,42,108,84,36,206,92,148,150,139,231,46,151,125,30,223
