Corrections,Loss (dB),Fibre Length (km),Power (mW),Acquisition Time (s),Coincidence Window (ps),Brightness (cps),Heralding,Quantum Bit Error Rate,QX,Secure Key Rate (bps),Tstamp,exit_flag,H1550,V1550,D1550,A1550,H780,V780,D780,A780,H1550H780,H1550V780,H1550D780,H1550A780,V1550H780,V1550V780,V1550D780,V1550A780,D1550H780,D1550V780,D1550D780,D1550A780,A1550H780,A1550V780,A1550D780,A1550A780
None,26.05,10.0,10.0,19.107313231191004,1000,2058.897529129366,0.005957542699349525,0.0845928265283104,0.09413837877944722,135.5851454491203,1721305771.4744618,None,22537999,30865317,33104098,31038436,92428,95157,93517,89858,4092,311,2496,1488,439,4024,1858,2931,2691,2674,4980,538,3379,2175,477,4787
None,26.05,10.0,10.0,19.180026421536,1000,2080.3933802300007,0.006027588771323273,0.08439141856392295,0.09025603241849328,151.04640456703024,1721305793.4091048,None,22614031,30923746,33177278,31120066,92763,95658,93753,89727,4144,318,2410,1581,453,4221,1835,2994,2830,2697,4989,516,3431,2130,464,4889
None,26.05,10.0,10.0,19.14523063849999,1000,1964.7190838410866,0.005862707218965254,0.08475948196114709,0.09428514536041417,128.35017764481154,1721306328.8623002,None,21713483,30215272,32369463,29945870,89995,93468,91640,85220,3846,327,2315,1455,406,4069,1803,2747,2717,2590,4697,485,3159,2137,462,4400
None,26.05,10.0,10.0,19.08541131986597,1000,1926.4452509718403,0.005797850586152075,0.08240906380441264,0.09814028704265211,121.67054709605365,1721306350.5805776,None,21518688,29857017,32002935,29654477,89905,91949,90499,83423,3828,312,2240,1429,379,3866,1810,2689,2671,2455,4597,489,3081,2113,482,4326
None,26.05,10.0,10.0,19.16571195195803,1000,2088.1040109710834,0.006000132328289012,0.08515761821366025,0.09543911168211434,131.06453968579177,1721306885.843454,None,22781304,31395653,33673191,31419700,93890,95897,94754,88453,4253,328,2483,1526,450,4105,1943,2975,2834,2657,5014,521,3370,2199,519,4843
None,26.05,10.0,10.0,19.237201523962,1000,2068.232219246704,0.00596751780059096,0.08523039700868801,0.1006578947368421,112.28074078756838,1721306907.8721952,None,22863348,31513172,33787520,31521730,93078,95835,94443,88053,4229,292,2404,1594,483,4089,1984,2998,2824,2733,4921,532,3364,2153,539,4648
