Corrections,Loss (dB),Fibre Length (km),Power (mW),Acquisition Time (s),Coincidence Window (ps),Brightness (cps),Heralding,Quantum Bit Error Rate,QX,Secure Key Rate (bps),Tstamp,exit_flag,H1550,V1550,D1550,A1550,H780,V780,D780,A780,H1550H780,H1550V780,H1550D780,H1550A780,V1550H780,V1550V780,V1550D780,V1550A780,D1550H780,D1550V780,D1550D780,D1550A780,A1550H780,A1550V780,A1550D780,A1550A780
None,28.0,10.0,7.5,21.149258369412987,1000,890.9532273364061,0.004160572585887713,0.081926061159288,0.09638080251770259,59.53947832953194,1721303958.4669702,None,19422158,26391001,28381765,26691070,49574,54231,50063,49444,2027,150,1227,710,209,1996,832,1433,1255,1266,2300,251,1677,977,239,2294
None,28.0,10.0,7.5,21.15818628601001,1000,893.6021143032228,0.0041681467747102866,0.08421537045559135,0.10344827586206896,46.15772245661189,1721303981.948493,None,19369307,26417811,28383923,26640901,50184,54218,50309,49391,2035,151,1184,731,215,1945,799,1401,1266,1302,2338,267,1738,1007,264,2264
None,28.0,10.0,7.5,21.225148358030992,1000,908.2150887631432,0.004196795603591212,0.08741258741258741,0.08475224794337095,69.71437976832166,1721304542.8685062,None,19247860,26212987,28176763,26487181,51843,55725,52049,51101,1971,175,1152,768,200,1944,858,1502,1396,1277,2443,240,1746,1061,203,2341
None,28.0,10.0,7.5,21.191750382281032,1000,912.6664693149419,0.0042262556878513565,0.09907407407407408,0.10299194476409666,25.343698226677965,1721304566.3129923,None,19300189,26289302,28255538,26552652,51331,55137,51378,50758,2019,193,1246,755,235,1873,869,1473,1311,1410,2339,286,1711,1032,251,2338
None,28.0,10.0,7.5,21.04990161697399,1000,910.6455863215394,0.004250085416185835,0.07867730900798175,0.10201706749418153,57.89042176826794,1721305125.4856255,None,18881834,25855576,27815308,26030578,50708,55576,50638,49426,2037,144,1226,717,201,2003,877,1412,1330,1322,2358,269,1649,1095,257,2272
None,28.0,10.0,7.5,21.17638236286599,1000,894.0148357539273,0.004189495425174932,0.08197474167623421,0.09469771081980043,62.10804217034021,1721305148.8898923,None,18866402,25886126,27849366,26023811,50642,55506,51402,49502,2019,172,1199,775,185,1979,857,1448,1324,1256,2347,261,1591,1016,223,2280
