Corrections,Loss (dB),Fibre Length (km),Power (mW),Acquisition Time (s),Coincidence Window (ps),Brightness (cps),Heralding,Quantum Bit Error Rate,QX,Secure Key Rate (bps),Tstamp,exit_flag,H1550,V1550,D1550,A1550,H780,V780,D780,A780,H1550H780,H1550V780,H1550D780,H1550A780,V1550H780,V1550V780,V1550D780,V1550A780,D1550H780,D1550V780,D1550D780,D1550A780,A1550H780,A1550V780,A1550D780,A1550A780
None,22.0,10.0,5.0,21.66483414797201,1000,2298.1020606917746,0.008731468194563172,0.060922695475073056,0.0659364892678624,365.7774984794424,1721300390.9851117,None,12888245,17404701,18750797,17690648,122649,124037,123619,116915,5403,278,3053,1985,410,5202,2208,3709,3595,3287,6419,448,4405,2649,449,6288
None,22.0,10.0,5.0,21.618202591676997,1000,2271.4654371360834,0.008633946956280121,0.06573314306100607,0.08309433962264151,269.4134497809526,1721300964.6789503,None,12992865,17536574,18935313,17848757,121816,122883,121565,114277,5240,280,3207,1794,457,5235,2289,3694,3427,3360,6183,576,4326,2546,525,5966
None,22.0,10.0,5.0,21.559720536076,1000,2503.7430290283664,0.009053985878777569,0.06162924110801508,0.06628280664167113,393.3694968066699,1721301539.0153315,None,13197565,17777455,19185271,18123141,130743,131348,132131,126338,5800,307,3345,2141,445,5650,2390,4217,3725,3592,6942,485,4605,2827,505,7004
