Corrections,Loss (dB),Fibre Length (km),Power (mW),Acquisition Time (s),Coincidence Window (ps),Brightness (cps),Heralding,Quantum Bit Error Rate,QX,Secure Key Rate (bps),Tstamp,exit_flag,H1550,V1550,D1550,A1550,H780,V780,D780,A780,H1550H780,H1550V780,H1550D780,H1550A780,V1550H780,V1550V780,V1550D780,V1550A780,D1550H780,D1550V780,D1550D780,D1550A780,A1550H780,A1550V780,A1550D780,A1550A780
None,32.06,10.0,10.0,20.710829194644003,1000,523.301114510799,0.002629180217856448,0.10478170478170479,0.10027855153203342,12.075049169656317,1721305916.3655987,None,24127236,33080966,35493709,33199323,31801,37721,32377,33068,1064,125,693,457,127,1089,551,796,775,723,1272,141,912,654,147,1312
None,32.06,10.0,10.0,20.684433356857976,1000,536.8771678880973,0.002696139026615442,0.1085603112840467,0.10561949898442789,4.800199795935134,1721305939.9862027,None,23961609,32861758,35251552,32985522,31954,38024,32851,32825,1104,125,698,432,154,1187,478,859,769,774,1369,154,936,635,158,1273
None,32.06,10.0,10.0,20.741585959380984,1000,499.19037147287685,0.002571813395758944,0.10268948655256724,0.10485573539760731,9.568198704325962,1721306472.9541373,None,23621516,32794914,35125134,32576257,30849,37001,31545,31193,1086,125,588,403,127,1116,485,738,679,712,1288,151,840,613,147,1256
None,32.06,10.0,10.0,20.57701652022899,1000,489.0407698369294,0.0025288940832905987,0.10535405872193437,0.11722846441947565,-1.7318640263844312,1721306496.377643,None,23411057,32578474,34876121,32301403,30749,36402,30979,30428,1011,113,586,377,131,1061,496,716,698,723,1259,163,866,615,150,1098
None,32.06,10.0,10.0,20.705364553103017,1000,528.1240024513947,0.00265082907847023,0.1104368932038835,0.1101637107776262,-0.43356789753134173,1721307031.301095,None,24447671,33585756,35981730,33667511,31599,37255,32058,32361,1085,121,687,463,152,1114,526,787,819,733,1317,169,879,637,154,1292
None,32.06,10.0,10.0,20.63930094014104,1000,523.6126955725347,0.0026275155441807404,0.10515873015873016,0.12025965152032798,-3.991244516164666,1721307054.8989022,None,24357186,33416051,35810021,33521333,31444,37304,32102,32244,1135,119,638,392,146,1120,541,816,736,732,1339,191,909,596,161,1236
