Corrections,Loss (dB),Fibre Length (km),Power (mW),Acquisition Time (s),Coincidence Window (ps),Brightness (cps),Heralding,Quantum Bit Error Rate,QX,Secure Key Rate (bps),Tstamp,exit_flag,H1550,V1550,D1550,A1550,H780,V780,D780,A780,H1550H780,H1550V780,H1550D780,H1550A780,V1550H780,V1550V780,V1550D780,V1550A780,D1550H780,D1550V780,D1550D780,D1550A780,A1550H780,A1550V780,A1550D780,A1550A780
None,29.91,10.0,10.0,20.177396007089015,1000,868.8435313377779,0.0036145206476856898,0.09962358845671267,0.10087902888237757,26.24900877409834,1721305866.28739,None,23751335,32515240,34890241,32706088,46110,50996,46824,45990,1735,171,1109,664,226,1853,892,1307,1223,1212,2108,233,1425,936,249,2188
None,29.91,10.0,10.0,20.148632135705988,1000,858.7679740967051,0.0035924292749239524,0.10108024691358025,0.10190018793067446,22.585236799730623,1721305889.303672,None,23615114,32373978,34713215,32505095,45540,50643,46393,45715,1709,165,1062,699,228,1786,815,1272,1162,1195,2176,256,1468,953,232,2125
None,29.91,10.0,10.0,20.066349497023978,1000,800.3448760015789,0.0034811503253960358,0.09282245008094982,0.09940828402366864,34.839668158089765,1721306423.1308658,None,22628956,31451154,33683868,31188111,43807,48671,44210,42238,1653,151,983,621,193,1709,828,1239,1149,1067,1972,213,1333,909,207,1833
None,29.91,10.0,10.0,20.114466169850996,1000,798.1320440938615,0.003459431579035052,0.08772874058127018,0.1040324504891434,35.71951308980592,1721306445.9992301,None,22830422,31740450,34006427,31485825,43773,49290,44075,42231,1683,144,965,620,182,1707,830,1187,1163,1124,1928,224,1338,920,212,1827
None,29.91,10.0,10.0,20.206523795312016,1000,877.8353060468163,0.003637068327511032,0.0908865775136206,0.11080740117746005,25.55873439444447,1721306981.1041772,None,24062362,32979291,35363119,33127233,46109,51204,46556,45606,1804,165,1099,740,202,1867,801,1333,1262,1163,2165,266,1477,1069,261,2064
None,29.91,10.0,10.0,20.270727258742994,1000,867.7537700288101,0.0036157579253358707,0.0944055944055944,0.10686864494708445,25.42318606629816,1721307004.3013563,None,24016463,33012443,35350273,33059779,45291,51152,46617,45609,1768,165,1104,687,213,1858,876,1270,1243,1207,2205,278,1372,1008,237,2099
