Corrections,Loss (dB),Fibre Length (km),Power (mW),Acquisition Time (s),Coincidence Window (ps),Brightness (cps),Heralding,Quantum Bit Error Rate,QX,Secure Key Rate (bps),Tstamp,exit_flag,H1550,V1550,D1550,A1550,H780,V780,D780,A780,H1550H780,H1550V780,H1550D780,H1550A780,V1550H780,V1550V780,V1550D780,V1550A780,D1550H780,D1550V780,D1550D780,D1550A780,A1550H780,A1550V780,A1550D780,A1550A780
None,28.0,10.0,10.0,19.652028559622025,1000,1281.9032866541147,0.0045483683443032245,0.08568920105355575,0.09449501517121803,81.26428357709176,1721305818.402678,None,23111994,31615484,33933275,31826747,62364,66818,63713,61713,2611,226,1645,988,262,2596,1145,1831,1702,1685,3181,334,2122,1458,320,3086
None,28.0,10.0,10.0,19.529687063552007,1000,1292.1353997062115,0.004581966894709727,0.09279073846693563,0.10204965357967667,50.92541821013725,1721305840.719095,None,22974114,31457734,33763235,31644025,61990,66558,62942,61617,2603,239,1528,1060,290,2569,1177,1955,1720,1672,3111,368,2136,1358,339,3110
None,28.0,10.0,10.0,19.55389251877397,1000,1208.5573231677827,0.004454636862077581,0.09330628803245436,0.09837646680597975,53.63672658423456,1721306375.3419297,None,22046978,30632912,32817362,30371124,60240,64301,60996,57354,2405,227,1459,856,279,2512,1190,1685,1719,1626,2896,329,2074,1379,283,2713
None,28.0,10.0,10.0,19.623825176835993,1000,1208.6328626692405,0.004463332390099967,0.08498996899507569,0.10759694850603942,53.091064162066246,1721306397.750598,None,22128805,30740074,32932368,30505547,59906,64737,61021,57127,2497,198,1440,914,268,2520,1211,1732,1693,1686,2940,327,1952,1315,350,2675
None,28.0,10.0,10.0,19.70115780840103,1000,1308.907844441702,0.004614913516317901,0.08966666666666667,0.11972650567355252,23.605879976182145,1721306932.8722873,None,23437881,32172848,34515298,32280114,63322,66927,63762,61066,2711,218,1570,1030,320,2751,1185,1940,1857,1748,3116,404,2236,1347,419,2935
None,28.0,10.0,10.0,19.688864964505996,1000,1317.1912167995663,0.004632760532846082,0.09569783197831978,0.09479499854608898,60.931084861287786,1721306955.4197788,None,23424880,32215045,34542618,32282203,62840,67254,64376,61417,2684,258,1637,991,307,2655,1265,1992,1821,1807,3224,348,2207,1432,304,3002
