Corrections,Loss (dB),Fibre Length (km),Power (mW),Acquisition Time (s),Coincidence Window (ps),Brightness (cps),Heralding,Quantum Bit Error Rate,QX,Secure Key Rate (bps),Tstamp,exit_flag,H1550,V1550,D1550,A1550,H780,V780,D780,A780,H1550H780,H1550V780,H1550D780,H1550A780,V1550H780,V1550V780,V1550D780,V1550A780,D1550H780,D1550V780,D1550D780,D1550A780,A1550H780,A1550V780,A1550D780,A1550A780
None,21.42,10.0,5.0,21.62741469997803,1000,2549.03328783241,0.00921996750052228,0.06459804777398619,0.07070029514354709,364.5565296521802,1721300366.116477,None,12846082,17349961,18680026,17637717,135114,136425,136425,129550,6074,323,3541,2213,491,5713,2449,4084,3890,3677,6973,511,4831,2935,543,6881
None,21.42,10.0,5.0,21.47519120305802,1000,2503.4468606893897,0.009212051429660363,0.06419389175468763,0.07275477926007427,350.4903897354665,1721300939.9081924,None,12628533,17078860,18413898,17348768,132113,132864,131921,123332,5925,332,3420,2107,452,5504,2368,3965,3828,3541,6727,548,4750,3028,510,6757
None,21.42,10.0,5.0,21.360704859450003,1000,2836.1891800212766,0.00972077564547886,0.06296296296296296,0.07447586543149683,394.9320539873446,1721301514.2971632,None,13121622,17617241,19038381,18000796,144776,143245,145953,139100,6676,359,3914,2368,508,6227,2748,4675,4194,3972,7669,635,5306,3228,587,7517
