Corrections,Loss (dB),Fibre Length (km),Power (mW),Acquisition Time (s),Coincidence Window (ps),Brightness (cps),Heralding,Quantum Bit Error Rate,QX,Secure Key Rate (bps),Tstamp,exit_flag,H1550,V1550,D1550,A1550,H780,V780,D780,A780,H1550H780,H1550V780,H1550D780,H1550A780,V1550H780,V1550V780,V1550D780,V1550A780,D1550H780,D1550V780,D1550D780,D1550A780,A1550H780,A1550V780,A1550D780,A1550A780
None,32.06,10.0,2.5,38.612109096802016,1000,106.15840719095794,0.0015244293555887057,0.0864461045891142,0.06502636203866433,12.12448602720747,1721297239.1538208,None,11150550,14901172,16176573,15338538,27420,39139,28996,30039,430,41,255,182,40,426,196,288,287,269,546,34,345,202,40,518
None,32.06,10.0,2.5,38.59112440460399,1000,109.09244197864678,0.0015482625306949634,0.08350951374207188,0.07591623036649214,10.797437649680077,1721297795.5797012,None,11275558,15313823,16539633,15561773,27388,39768,28963,29862,429,35,251,157,44,438,209,314,295,284,516,44,354,254,43,543
None,32.06,10.0,2.5,38.53886289531699,1000,127.22222794476335,0.0017324333381094174,0.06970509383378017,0.08390541571319603,13.955324235261225,1721298353.14105,None,11924067,16018372,17357690,16406147,28140,40404,29963,31295,520,31,299,196,47,521,220,377,343,346,608,64,441,251,46,593
