Corrections,Loss (dB),Fibre Length (km),Power (mW),Acquisition Time (s),Coincidence Window (ps),Brightness (cps),Heralding,Quantum Bit Error Rate,QX,Secure Key Rate (bps),Tstamp,exit_flag,H1550,V1550,D1550,A1550,H780,V780,D780,A780,H1550H780,H1550V780,H1550D780,H1550A780,V1550H780,V1550V780,V1550D780,V1550A780,D1550H780,D1550V780,D1550D780,D1550A780,A1550H780,A1550V780,A1550D780,A1550A780
None,23.97,10.0,5.0,22.479670532454023,1000,1417.502981371383,0.006654722736594434,0.06704217612309384,0.07448291889379503,186.24429685972973,1721300419.116792,None,13351968,18107835,19486559,18340800,81714,86220,83454,79526,3497,225,2037,1262,263,3294,1432,2405,2246,2107,3988,306,2782,1709,335,3977
None,23.97,10.0,5.0,22.490963898052005,1000,1414.96825766353,0.006599910481143581,0.06311207834602829,0.06856343283582089,212.0921093577321,1721300992.856254,None,13592453,18365517,19815213,18694808,82463,86013,83128,78341,3454,185,1985,1286,279,3434,1441,2352,2234,2089,4016,310,2780,1729,278,3972
None,23.97,10.0,5.0,22.540384544257975,1000,1554.2325789168688,0.006999352826493916,0.06730892742453436,0.08226141078838174,181.92479120834955,1721301567.250596,None,13684906,18421289,19888620,18776572,88595,90675,88605,86107,3757,196,2158,1407,328,3504,1565,2744,2407,2373,4336,383,3090,1864,410,4511
